	Texte contient	Type	Entité correcte	motif
Buenos-Aires	Buenos-Aires	Géographie	Buenos Aires	correction
Costa-Rica	Costa-Rica	Géographie	Costa Rica	correction
Kadhafi	Kadhafi	Personnalités	Mouammar Kadhafi	alias
les Communes	les Communes	Institutions	Chambre des Communes	alias
Burkina	Burkina	Pays	Burkina Faso	alias
Pâcques	île de 	Géographie	Île de Pacques	correction
Amal	mouvement	Partis politiques	Mouvement Amal	correction
Churchill	Churchill	Personnalités	Winston Churchill	
Clémenceau	Clémenceau	Personnalités	Georges Clémenceau	
Mossadegh	Mossadegh	Personnalités	Mohammad Mossadegh	
Khol	Khol	Personnalités	Helmut Khol	
Sri-Lanka	Sri-Lanka	Pays	Sri Lanka	correction
Kuala-Lumpur	Kuala-Lumpur	Géographie	Kuala Lumpur	correction
Führer	Führer	Personnalités	Adolf Hitler	alias
Camus	Camus	Personnalités	Albert Camus	alias
Tocqueville	Tocqueville	Personnalités	Alexis de Tocqueville	alias
Centrafrique	Centrafrique	Géographie	République centrafricaine	alias
Jaurès	Jaurès	Personnalités	Jean Jaurès	alias
Pétain	Pétain	Personnalités	Philippe Pétain	alias
Tananarive	Tananarive	Géographie	Antananarivo	ancien_nom
général Dayan	général Dayan	Personnalités	Moché Dayan	alias
Sartre	Sartre	Personnalités	Jean-Paul Sartre	alias
Rio-de-Janeiro	Rio-de-Janeiro	Géographie	Rio de janeiro	correction
CAC	40	Institutions	CAC 40	correction
Constantinople	Constantinople	Géographie	Istanbul	ancien_nom
Bengale oriental	Bengale oriental	Géographie	Pakistan	ancien_nom
Bretton-Woods	Bretton-Woods	Sujets	Bretton Woods	
Taïpeh	Taïpeh	Géographie	Taipei	correction
San-Francisco	San-Francisco	Géographie	San Francisco	correction
Ryad	Ryad	Géographie	Riyad	correction
Riad	Riad	Géographie	Riyad	correction
Dehli	Dehli	Géographie	New Delhi	correction
New-Delhi	New-Delhi	Géographie	New Delhi	correction
Sao-Paulo	Sao-Paulo	Géographie	Saõ Paulo	correction
Adenauer	Adenauer	Personnalités	Konrad Adenauer	correction
Baltique	Baltique	Géographie	mer Baltique	alias
Saint-Siège	Saint-Siège	Géographie	Saint Siège	correction
Phnom-Penh	Phnom-Penh	Géographie	Phnom Penh	correction
Rhodésie	Rhodésie	Géographie	Zimbabwe	ancien_nom
Mobutu	Mobutu	Personnalités	Joseph Mobutu	alias
Khomeiny	Khomeiny	Personnalités	Rouhollah Khomeiny	alias
Abdel Nasser	Abdel Nasser	Personnalités	Gamal Abdel Nasser	alias
Calvo Ospina	Calvo Ospina	Personnalités	Hernando Calvo Ospina	alias
Calvo Serer	Calvo Serer	Personnalités	Rafael Calvo Serer	alias
Collor de Mello	Collor de Mello	Personnalités	Fernande Collor de Mello	alias
Intifida	Intifida	Sujets	Intifada	correction
Conrad Adenauer	Conrad Adenauer	Personnalités	Konrad Adenauer	alias
Díaz Ordaz	Díaz Ordaz	Personnalités	Gustavo Díaz Ordaz	alias
Febres Cordero	Febres Cordero	Personnalités	Léon Febres Cordero	alias
Foster Dulles	Foster Dulles	Personnalités	John Foster Dulles	alias
Garcia Godoy	Garcia Godoy	Personnalités	Hector Garcia Godoy	alias
García Meza	García Meza	Personnalités	Luis García Meza	alias
Hafez Assad	Hafez Assad	Personnalités	Hafez Al-Assad	alias
Hsing Han	Hsing Han	Personnalités	Lo Hsing Han	alias
Maale Adumim	Maale Adumim	Géographie	Maale Adoumim	correction
Mao Tse-Toung	Mao Tse-Toung	Personnalités	Mao Zedong	correction
Mao Tsetoung 	Mao Tsetoung 	Personnalités	Mao Zedong	correction
Mohamad Khatami	Mohamad Khatami	Personnalités	Mohamed Khatami	correction
Napoléon Duarte	Napoléon Duarte	Personnalités	José Napoléon Duarte	correction
Nicolas Ceausescu	Nicolas Ceausescu	Personnalités	Nicolae Ceausescu	correction
